,Unnamed: 0,brand,product,shade_name,hex_code,lightness,imgSrc,retailer,url
0,0,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,shell,#EFCBA4,0.790196078,https://images.ulta.com/is/image/Ulta/2528173sw?$tn$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
1,1,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,linen,#F3CEB0,0.821568627,https://images.ulta.com/is/image/Ulta/2529033sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
2,2,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,alabaster,#F2CBB4,0.82745098,https://images.ulta.com/is/image/Ulta/2549910sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
3,3,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,porcelain,#F6C8A7,0.809803922,https://images.ulta.com/is/image/Ulta/2528170sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
4,4,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,ivory,#F0C4AB,0.805882353,https://images.ulta.com/is/image/Ulta/2529037sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
5,5,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sand,#F2C79D,0.782352941,https://images.ulta.com/is/image/Ulta/2528172sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
6,6,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashmere,#DFB38A,0.707843137,https://images.ulta.com/is/image/Ulta/2529036sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
7,7,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,vanilla,#EEC29C,0.77254902,https://images.ulta.com/is/image/Ulta/2529034sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
8,8,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,bisque,#EAB498,0.756862745,https://images.ulta.com/is/image/Ulta/2549902sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
9,9,BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashew,#DDAD8C,0.707843137,https://images.ulta.com/is/image/Ulta/2549903sw?$50px$,Sephora,https://www.sephora.es/p/ultimate-coverage-24-hour-foundation---fondo-de-maquillaje-cobertura-perfecta-P2915006.html
